comment,date,drug,effectiveness,ease of use,satisfaction
"I have been on Citalopram for over a month now for GAD and panic disorder. So far no releif. Although I know someone on it that says its a life saver. I just recently added Buspirone(Busbar) a few days ago and no change yet either. I was previously on Paxil for almost 5 years. Paxil worked a little bit, maybe 50%. I am determined to find one that works and am going to try a SNRI next. I am having a hard time finding any good info online about SSRI's vs. SNRI's. ",4/19/2009 3:26:41 PM,citalopram oral,1.0,5.0,1.0
Severe sexual problems includes severe decreased interest in sexual intercourse and in achieving climax.,4/16/2009 10:35:30 AM,citalopram oral,3.0,4.0,2.0
It took about 4 weeks but what a difference i would not have believed it if i did not try it.,4/16/2009 10:14:00 AM,citalopram oral,5.0,5.0,5.0
It works a little but not all the way i still have systems,4/16/2009 9:55:49 AM,citalopram oral,3.0,4.0,3.0
This medicine has helped me to get my life back. I had severe depression and mood swings before taking this. I was unable to consentrate and remember simple things. There has been a major difference in my thinking since I have started taking Citalopram. I feel like a better person.,4/14/2009 6:01:41 PM,citalopram oral,5.0,5.0,5.0
Overall it has helped me with my anxiety on a daily basis.,4/13/2009 9:57:24 AM,citalopram oral,4.0,4.0,3.0
I experience dizziness. I tend not to feel sadness when face with my friends negative experience.I do not feel their pain.,4/12/2009 2:44:14 PM,citalopram oral,3.0,4.0,3.0
it has really helped me and made my life much easier.,4/9/2009 10:49:30 PM,citalopram oral,4.0,5.0,4.0
I have noticed that my overall attitude has changed not to mention my anxiety is managed.  At times I do feel like my brain is working faster than I can but overall I am extremely happy.,4/9/2009 2:50:59 PM,citalopram oral,5.0,5.0,5.0
"Dizziness was my biggest side effect when I began taking this but over time that went away.  I have noticed that I am also constantly tired and have gained 15 lbs.(my eating is at least the same if not improved because of fear of gaining more weight).  I don't really feel like this is helping my depression but I do think it is helping my OCD.  My husband is the one that noticed that.  I have a doctors appt in 2 weeks and I am telling her that I am ready to be done with this med, hopefully it won't be too hard to come off of it.",4/9/2009 10:36:39 AM,citalopram oral,2.0,4.0,2.0
"I used to take Welbutrin and still had anexiety attacks and anger issues, I was taking 3 pills a day. Now I take 1 pill a day and and I dont have any more anexiety attacks and I am really calm and pleasant to be around.",4/8/2009 8:28:15 PM,citalopram oral,5.0,5.0,5.0
I have only been on this med for two days.  Not really seen an effect yet.  I do have a question asto when everyone takes this med.  My Dr said to take it in the AM but I notice that I am very tired at work.,4/8/2009 4:14:25 PM,citalopram oral,3.0,4.0,3.0
I have gained alot of weight with this. Is that normal,4/1/2009 5:31:39 PM,citalopram oral,2.0,5.0,3.0
im scared to take she gave to me for migraines.  please give input,3/31/2009 7:46:35 PM,citalopram oral,1.0,1.0,1.0
have been taking for less than a month and cannot say i have noticed any change in my symptons,3/30/2009 1:01:17 AM,citalopram oral,2.0,5.0,2.0
this worked at first but now a year and a half later my hot flashes are coming back. I am moving on to natural things,3/29/2009 9:57:22 AM,citalopram oral,3.0,5.0,4.0
I've taken this Citalopram for the past few years and have had great sucess. The depression is gone and I sleep well at night.,3/28/2009 7:31:30 PM,citalopram oral,5.0,5.0,5.0
This med has been a godsend for me-i am normal again- i can function normal withour crying spells-i stay on an even keel- i have been taking it for sometime and don't want to give it up-however it is non addictive which is a BIG plus.,3/28/2009 2:28:30 PM,citalopram oral,5.0,5.0,5.0
"Depression with anxiety,was on lexapro,pristiq, then citalopram, liked lexapro the best but couldnt stand the breast tenderness any more. Have not missed a dose yet as some have talked about so dont know about those side effects.I feel normal but do notice alot of yawning in the afternoon.Wish it would pep me up a little bit more like the lexapro but everything is a trade off, I like feeling as though I can function every day. ",3/26/2009 2:48:16 PM,citalopram oral,5.0,5.0,4.0
has anyone suffered from lethargy and drowsiness while taking this drug?,3/25/2009 6:07:12 PM,citalopram oral,3.0,3.0,1.0
"Zapped my energy level to zero. However, has not helped with my insomnia. Did help some in the beginning with my emotional outbursts but after 2months quit working.My mind was always racing. Would still have highs and lows. During that time I also gained 10 pounds due to the medication (my eating habits have not changed). I have already put a call in to get a med change.",3/24/2009 2:26:02 PM,citalopram oral,2.0,5.0,1.0
for over 25 years I have experienced a sleep disorder condition where I would get up every night and eat and go back to sleep immediately after laying back down. The first night I took this medicine I slept all night and when I did get it up it was only to use the restroom- No More eating during the middle of the night- Why my doctors before couldnt have suggested this is a mystery to me!,3/24/2009 12:49:58 PM,citalopram oral,5.0,5.0,5.0
Helped a lot with suicide thoughts,3/23/2009 3:42:01 PM,citalopram oral,4.0,4.0,5.0
"I am a 39-year old female, and have had symptoms of general anxiety for the last 3 months, after a period of about 2-1/2 years of constant stress.  My doc prescribed 20mg 1x/day for mild depression/anxiety. I started this med on a Sat night, and although was exhausted couldn't sleep at all Sun night. Mon morning I had nausea (expected short-term side effect) and was sick, then very anxious and jittery all day. Tues nausea was better, but anxiety still there, I was shaking all over. Called doc who said to reduce to 1/2 dose. Did that for two days with some reduction in symptoms but still not great...Wed ok, Thurs very anxious. Doc has now taken me off this med and I'm back to xanax. Said it's not a common reaction, but does happen. I hated the way this made me feel and am now scared to try anything different because of the reaction I had.",3/22/2009 8:46:48 PM,citalopram oral,1.0,4.0,1.0
"Was having lower jaw pain repeatedly (from anxiety)and was afraid I was going to have a second heart attack. My Cardiologist prescribed a once a day 10mg to take in the a.m. and it's working great. No bad side affects,and I sleep much better at night.Recommend it higly.Age 73",3/22/2009 6:23:30 PM,citalopram oral,5.0,5.0,5.0
Have had no problems while on this medicine.,3/20/2009 9:03:23 PM,citalopram oral,5.0,5.0,5.0
very helpful in my anxiety. made me feel the best I have felt in a long time,3/18/2009 7:41:01 PM,citalopram oral,5.0,5.0,5.0
I would not want to be without this med. I don't know what my world would be like without it.,3/15/2009 6:02:34 PM,citalopram oral,5.0,5.0,5.0
no sex drive and not interested,3/15/2009 11:50:28 AM,citalopram oral,4.0,4.0,3.0
"I have been taking this medication for about9 months.  I have experienced a slight decrease in my sex drive but when I do have sex maybe 1 time out of 10 I cannot acheive an orgasm.  My wife don't care, however, because my sexual stamina(longevity) is amazing.  But back to the anxiety, it has worked great for me.  But at first the sexual side effects bothered me and I tried to ween myself off of the drug but started feeling these electrical impulses in my feet and hands so I went back to 20 mg and the impulses went away almost immediately.  But overall, the good does outway the bad.",3/13/2009 5:26:22 PM,citalopram oral,4.0,5.0,3.0
I feel more relaxed and do not alcohol to relax after a stress ful day,3/11/2009 11:52:18 AM,citalopram oral,3.0,5.0,3.0
"I was prescribed this after a tilt table test was positive and had vasovagal syncope.  Felt lightheaded all the time. Felt like every deep breath I was going to pass out.  Also was sore in many places but didn't think it was related.  I've been suffering like this for around 7 years.  I was on a beta blocker before that but didn't feel any better. Within one week of taking this, ALL of my previous symptoms are gone. I can take deep breaths and no longer feel lightheaded at all.  All my soreness everywent just went away. i was amazed!  No more chest pains either which I just learned to deal with.  I couldn't be happier with this. I don't like taking medication but I'm going to enjoy this for a long while. It's been way to long of not feeling normal. I am way happy with what this has done in my life. I now can focus on life and not with my health concerns.",3/8/2009 9:19:14 PM,citalopram oral,5.0,5.0,5.0
"I started at 10 mg for a week, increased to 20 mg. Got a little better, but not back to normal. Two weeks ago, my psychiatrist upped my doasage to 30 mg and I feel like myself again! It was an uphill battle and took adjusting the medicine and about 6 very long weeks, but it was worth it. Trust your psychiatrist!!! If I had just listened to myself I would have stopped taking it and never felt better. Listen to them and give the medicine TIME to work! Side effects I have noticed are: slight fatigue, increased sweatiness on palms, feet, & underarms, memory loss. But I can laugh again, sing, sleep, and handle life much more effectively! Give it time! You will make it!",3/7/2009 11:32:59 AM,citalopram oral,5.0,4.0,5.0
"THis is an Update to an earlier post: 
I posted about 2-3 weeks ago. 
The drug has helped me out a lot. I have been able to read and understand the self help and self improvement books. The side effects are minimal from what I experienced in the beginning. I am tired and I do have more head aches, but they are not bad ones. I have keept to 10mg and have not increased my dose to the full amount of 20. Though I do notice that I get a bit shakey and my eyesight seems a little fuzzy at times. I have started to feel down or cry, but now I am able to think why I am feeling the way I do. I am able to turn my mood around before it gets worse. When I do find my mood is getting worse, I can now reason with myself and look at the brighter side of every situation. It has helped me be more understanding, helped me stop yelling and helped me be more calm. I don't experience the Road Rage and am able to be more in control. Once I feel that my situation is changing or better than it was before. I will consult my doctor on how to get myself off of this, as I don't want it to become  a perminanat crutch for my mental health.
I do have a lower sex drive, but it hasn't gone away.    ",3/4/2009 3:45:20 PM,citalopram oral,5.0,5.0,4.0
"painfull and heavy periods, forgetfullness, confusion, tender breasts, migraines, severe tiredness all the time, depression increasing so don't think they're working.",3/2/2009 1:11:41 AM,citalopram oral,1.0,5.0,1.0
"I have used citalopram for Parkinsons depression. The Dr has tried to get me off of it but when I quit taking it I get terrible headaches, faintness, nausea and disorentation. When I start taking again I feel better almost instantly. Anyone else have this happen. It is very concerning.",3/4/2009 10:47:14 AM,citalopram oral,3.0,4.0,2.0
I have gained 64 pounds and I now have hypertension (high BP) and DMII,3/2/2009 1:44:08 PM,citalopram oral,4.0,4.0,3.0
Did not help anxiety very much.teeth grinding was a problem.Also no sex drive.Did help depression somewhat.Doc swithed me to lexapro.,2/26/2009 6:31:53 PM,citalopram oral,3.0,5.0,3.0
This drug has worked fairly well in treating some short term event related depression. The downside seems to be that I have difficulty sleeping and am tired much more often.,2/26/2009 3:38:52 PM,citalopram oral,4.0,5.0,4.0
"My doctor prescribed citalopram in lieu of Lexapro because of cost.  I liked Lexapro, and it did not make me feel as tired as citalopram.  I started taking citalopram for hot flashes and mood swings, and it alleviated most of it, but not all.  I felt tired and drug out, had dry mouth and no sex drive.  I went off the drug for 4 months because of that and started feeling much better; however, the hot flashes and mood swings returned, so I had to begin the medication again.  It is effective, but you should weigh the side effects against the severity of your symptoms before taking it. ",2/25/2009 11:58:47 PM,citalopram oral,4.0,5.0,3.0
been on it for about 6months now and it has helped me out alot. i am not like i use to be in the past with anger and depression issues. ,2/25/2009 3:15:18 PM,citalopram oral,3.0,5.0,3.0
AFFECTED MY SEXUAL DRIVE IN THE WORST WAY,2/25/2009 2:11:11 PM,citalopram oral,1.0,3.0,1.0
"When i first started taking it,my head felt like a bowling ball, absolutley, terrible. been on it now for probably 2 years and now i feel terrible when i dont take the stuff.They do actually, make me feel like myself.",2/21/2009 9:21:27 AM,citalopram oral,3.0,3.0,2.0
new drug,2/18/2009 1:49:08 PM,citalopram oral,2.0,2.0,2.0
"OK so this is my first time on anything, and I was a bit aprehensive about taking a drug to help me and my ""situation"". Ok Depression. My doctor put me on Citalopram at 20mg and asked that I start at 10mg first. I took my first 1/2 pill last night and about 2 hours later, felt like my old self again. I felt ""normal""??? Like I haven't felt in a year or two.  I have already noticed that I am more focused and a lot more level in my mood. I'm not sure if I will stay with the 10mg dose or reduce it to 1/4 of a tablet. Or just keep at the 10mg. I was told that it miht take as much as a month to feel the effects but I noticed them right away. I can actually function and think about things. 

I noticed the following.
no crying.
no rage
no loss of hope. I actually have more hope now. 
I was laughing this morning.
I slept well last night. 

Hope this post helps you. ",2/18/2009 8:24:41 AM,citalopram oral,5.0,5.0,4.0
"I am a typical working ""supermom"" that just felt miserable...tired of the ""day to day"" and feeling increasingly unhappy.  Within a week of taking these meds I was back to myself.  Much more at ease and able to ""deal"" with the pressures/expectations/duties of everyday life.  I'm pretty sure my husband and 2 kids agree - it's just what I needed to take the edge off.  
The only downer - when I DO drink, I get tired VERY quickly.  I can usually skip a dose if I want to party! ",2/17/2009 9:18:32 AM,citalopram oral,4.0,5.0,5.0
"I am on roughly day 10, I like it overall, but ""things"" are rough for about the first 3-4 hours that I am up. After that, I am okay, or okay enough to deal.  I see my practitioner in a week to find out if there really is a correlation, or if something else is going on, totally unrelated to the drug.  ",2/16/2009 11:45:42 AM,citalopram oral,3.0,5.0,4.0
Immediately I noticed myself calming and staying more focused. The first few days I did experience dry mouth and lack of appetite. I have began to get my appetite back but I am still experiencing weight loss. ,2/13/2009 11:33:35 AM,citalopram oral,4.0,4.0,4.0
"I think this is a wonder drug! I haven't felt this great in a long time. My husband was the first to notice, but after about a month, the difference was amazing. I feel like a conpletely different person. My one and only problem with the drug is the fact that when I miss a pill, my depression and anxiety come back two fold. And this is the day after I miss just ONE. But other than that, this pill has made my life so much better!",2/13/2009 11:12:26 AM,citalopram oral,5.0,5.0,4.0
I've been on this for about a year for anxiety / panic attacks.  I love it.  I'm not afraid of when the next attack is going to happen and I can live my life again.  I've noticed I can usually skip a day or two before the anxiety starts slowly coming back so I think it would be hard for me to stop taking this drug...I'm just glad I found something that helps!  Give it time to work....,2/11/2009 4:20:38 PM,citalopram oral,5.0,5.0,4.0
"My mood is much better at 20-30 mg.  Still a lot of social anxiety (maybe a small improvement, but not dramatic).  40 mg gave me crazy nightmares, but no side effects at the lower doses.",2/10/2009 5:35:41 PM,citalopram oral,4.0,5.0,4.0
my depression has gotten worse so i am reevaluating these meds. i am not relating it to the pill itself. but to my immediate stress. i do not think this pill is strong enough.  or maybe the mg. need to be upped.,2/9/2009 6:48:18 PM,citalopram oral,3.0,4.0,3.0
"Upon first taking this drug, it made me feel quite nauseaus (SP?). Also, i have experienced vivid dreams which can best be described as bad drug ""trips"". I am however, less depressed/moody. Another side effect i am beginning to notice is a plummet in sex-drive as well as ability to climax. i am taking 20 MG daily and have been taking it for a month...hopefully these side effects will not persist.",2/9/2009 2:22:01 PM,citalopram oral,3.0,5.0,3.0
"I was prescribed this medication, for the second time, for depression. The first doctor to prescribe it didn't listen when I told him it wasn't working. My new doctor prescribed me Lexapro which worked wonders but my insurance would not cover it so he gave me Citalopram. He had to increase it from 20 to 40 because it was not working. I have unfortunately gained 30-40 lbs which isn't helping with the whole depression thing. If I miss a dose, my mood swings are worse and I end up crying because I yelled at my little girl. :(",2/9/2009 8:23:09 AM,citalopram oral,4.0,4.0,4.0
"I believe the root cause of my problems is really hormonal in nature.  I feel like I haven't found the cure to my real problem.  I cannot physically tolerate any stressful situation.  Citalopram helps treat my symptoms.  When I stopped taking it for a couple of days and I had an animated phone conversation, I felt a lot of chest pressure and pain.  I then took some Lorazepam, as the doctor advised, should this happen.  It was scary, but I am OK.  I am continuing to take the Citalopram.",2/9/2009 12:36:29 AM,citalopram oral,3.0,3.0,3.0
"Been on citalopram for 11 years. It probably saved my life but at a price - spent 11 years tired with low sex drive and very difficult to climax. Have tried to come off them many times and its impossible, feel like ive got a life sentence.",2/8/2009 5:43:15 PM,citalopram oral,4.0,5.0,4.0
I use to take effexor xr and had to switch due to many years of medicine and this doesnt seem to do the job that effexor xr did.  Looking for a balance to medicine.,2/6/2009 1:14:05 PM,citalopram oral,2.0,5.0,1.0
"I've only been on this for just over a week.  Feel kind of jittery a lot of the time, but extremely tired and have these terrible headaches.  Also, just don't feel...right.  Like something is just off, and i would like to just lie down on the couch. I haven't seen some of these listed as symptoms.  Is anyone else having anything like this? ",2/5/2009 3:45:19 PM,citalopram oral,2.0,5.0,2.0
"i started taking 20mg then i went up to 40mg the only thing that i hate about this drug is that if i go 2 or more days with out taking it i start freaking out worst than i started which really concerns me i feel pretty much out of it its scary but anyhow hopefully when i stop taking it. it wont be a problem. 
",2/5/2009 8:27:50 AM,citalopram oral,4.0,2.0,3.0
"This drug has done wonders for my depression, however I recently ran out because I couldn't afford to refill my prescription, and when I did it was a nighmare.  I kept having anxiety/panic attack.  I've never had one of those before and though I was having a heart attack.  My heart felt like it was doing flip flops in my chest.  It was very scary.  Within hours of taking a tablet after being out for 3 weeks, I felt my body start to feel normal.  I definately will not let myself run out again, and dread the day I may have to be weaned off of it.",2/1/2009 5:55:53 AM,citalopram oral,4.0,4.0,4.0
"I've been taking 20mg Citalopram for some time now and have definitely reaped the benefits.  

I have found, though, that different life events moderate the effects of the drug rendering it less effective.  During more stressful times in life, you may find the medications effectiveness drop, but I saw this to be expected.

I did find that the medication made me far less moody and less agitated by ""the little things.""  I am a self-diagnosed obsessive-compulsive and I find it difficult to concentrate in disorganized environments or a room that is in disarray.

One last thing: After being out of country and suddenly running out of the medication (under highly stressful conditions), I experience what I could only describe as a persistent anxiety attack.  I would highly advise patients to ensure they have ample supply when traveling abroad!
",2/1/2009 3:21:38 AM,citalopram oral,4.0,5.0,4.0
"I was taking 300mg Wellbutrin, 50mg Seroquel,didn't feel depressed anmore but still didn't want to socialize or get involved in anything, I lived in my pajamas, started taking 20mg citalopram and now feel fantastic. On the go and feeling great! Give it a chance.",2/1/2009 12:24:36 AM,citalopram oral,5.0,5.0,5.0
i have been able to socialize better with others and also have a more optamistic view on life along with more patience and understanding for other people.,1/30/2009 11:14:13 PM,citalopram oral,5.0,5.0,5.0
"I have been on Citalopram for about 2 months.  I started having several problems and looking at the info online for it.  Severe problems with sex drive, sexual satisfaction, muscle and joint pain, increased insomnia, and a return of headaches.  It has worked well on my depression, but I would rather be overwise depressed than in pain.",1/29/2009 7:32:21 AM,citalopram oral,1.0,1.0,1.0
"I was having serious issues with high blood pressure which was causing severe anxiety.  My doctor tried several medications and could not lower my BP.  Because my BP was so high, I was a nervous wreck.  It was suggested I try this drug along with my BP medication.  FINALLY, my bp dropped to normal after a year of trying to lower it.  This medication has been a life saver!  It takes a few weeks to work but stick with it because it's worth it.  I never have anxiety anymore and nothing upsets me!  Best of all...my BP is NORMAL!!!  Highly recommend it!",1/28/2009 5:11:48 PM,citalopram oral,5.0,5.0,5.0
"I have been taking Citalopram for about 15 months. Overall it has worked well. After reading other comments, I am just realizing I have had similar side effects.  Weight gain, tiredness, diffulty sexually and sickness when I miss a dose.  I did have vivid dreams for the first six months after taking the drug but have not had any lately.",1/26/2009 11:28:18 PM,citalopram oral,4.0,4.0,4.0
I have been taking this medication off and on for a few years now depending on my stress levels. It has always worked. It takes a couple weeks to fully kick in with the 20mg but once it starts doing it jobs it continues for quite awhile.,1/26/2009 6:30:33 AM,citalopram oral,5.0,5.0,5.0
The first few days of taking this med was pure hell.I was feeling pretty hopless. But I stuck with it and I am glad I did. I amon 20 mg and it seems to be working fine. The side effects will go away so don't give up! you will have good and bad days but the good with out weigh the bad!,1/25/2009 7:44:24 PM,citalopram oral,4.0,5.0,4.0
"Had no effect on my anxiety and in fact my PTSD symptoms started coming back. Even with my Ambien I have experienced sleep problems. I experienced most all the side effects and have been extremely sick since first I started this medication and my illnesses got worse.  Have been in ER a couple of times with all the symptoms this medicaiton has, but, since I didnt really read the serious side effects I had no clue I personally should not take this medication with other medications I have. A friend suggested today I look at not only serious side effects but drug interactions and after2 1/2 months of ER doctors running all kinds of tests and coming up negative and my doctor treating me for bronchitis but not paying attention to my other complaints I have had the following serious drug interactions as noted under the tab of interactions with other drugs Tell your doctor immediately if any of these rare but very serious side effects occur: stomach pain, fainting, bloody/black/tarry stools, vomit that looks like coffee grounds, easy bruising/bleeding, muscle weakness/cramps, seizures, fast/irregular/pounding heartbeat, difficulty urinating, change in the amount of urine.  I have fainted once in my life years ago...but 2 weeks ago when she increased my dosage a few nights later I fainted...I thought for no reason at all!  I take Lorazepam and Ambien for over 5 years and evidently this drug does NOT interact well for me.  I also have had Vicodin due to the pain from the coughing from the bronchitis along with OTC cough syrups and Theraflu type medications. I HIGHLY suggest you pay much attention to side effects and drug interractions PRIOR to agreeing to take this antidepressant!",1/23/2009 5:15:56 PM,citalopram oral,1.0,5.0,1.0
I did notice a change on my anxiety levels but after six months I feel I need an increase in dosage and I don't won't to be zombafied by taking the maximum doses to get the same results.,1/22/2009 10:29:13 PM,citalopram oral,4.0,3.0,4.0
"I've been on this medication for about a year, and it's ruined my life. I'm a full time worker and student, and this makes me so tired, and i can never sleep. I also am never in the mode for sex, and has starting the grinding in my teeth. It causing more problems then when i started.",1/21/2009 3:13:17 PM,citalopram oral,2.0,2.0,1.0
"Was only taking 10 mg. a day.  Seemed to help.  Took for 9 Months. Never needed them before, so things in my life have gotten better and I've quit taking.  It's been 4 days and am feeling sadness.   Hope this passes.",1/20/2009 6:29:25 PM,citalopram oral,4.0,3.0,4.0
"I think it made my memory worse (but that could be because I've been spacing out regularly since I was 5) and sometimes I'll randomly get dizzy but most of the time I feel normal. I haven't really noticed any side effects other than those. Unfortunately, I've been taking it for 3 years now due to a seratonin deficiency, and all my attempts to stop taking it have failed.",1/19/2009 11:49:57 PM,citalopram oral,4.0,4.0,3.0
my DR up  from 20mg to 40mg i have lose 24lbs in eight mo.,1/19/2009 7:19:39 PM,citalopram oral,3.0,4.0,4.0
"I have been taking 40mg daily this med since 4/07.  I have noticied that it is causing a complete inability to climax during intercourse.  I do have quite a bit of sexual drive, though.  Anyone experienced these symptoms?  I am frustrated to say the least about the problem.  Also, I notice that my whole body will jerk when I am tring to go to sleeep.",1/19/2009 10:42:31 AM,citalopram oral,4.0,4.0,4.0
"In addition to the weight gain and loss of appetite, I have had problems with short term memory loss.  Any one else out there on this med having the same problems?",1/17/2009 4:55:18 PM,citalopram oral,3.0,5.0,3.0
Along with weight gain (10 lbs. in two months!) I have also noticed a lack of appetite.,1/17/2009 2:37:24 PM,citalopram oral,3.0,5.0,2.0
"Dealing with grief over the loss of our son. Lost sense of security and well being. Extreme sadness and irritability. Constant anxiety over what the future holds. I have been taking a 20mg dose for approx 6 months. Beginning side effects where nausea, teeth grinding, vivid dreams (good & bad) and just a hollow feeling. Nothing mattered. These all subsided within 3 months. Lingering side effects are sleepiness, weight gain and sex drive. I have tried morning and night,I now take my dose at dinner time and that has helped with some of the sleepiness. My sex drive is low but the actual act has actually been enhanced. The anxiety, grief and irritability are at a much more manageable level. I don't know where I would be without this medication. With it I am a much easier person to live with.",1/15/2009 2:22:29 PM,citalopram oral,5.0,5.0,4.0
"Controls my anxiety, keeps me from getting angry and frustrated.",1/15/2009 12:24:20 AM,citalopram oral,5.0,5.0,5.0
Panick attackts completely gone!!!,1/14/2009 4:00:29 AM,citalopram oral,5.0,5.0,5.0
I have not had any adverse affects taking this medication.  It has helped me alot.,1/14/2009 12:49:51 AM,citalopram oral,5.0,5.0,5.0
"Been on this for four years and it was a life saver.  Started taking it before bed shortly after I began treatment as I got so sleepy during the day and that worked well. Started at 20 mg, then 30, last 40.  Tapered off right after Christmas 2008 and have some withdrawal symptoms but getting better each day.  Wanted to get off of this to see if I could cope (I hate taking drugs) and will see if natural supplements will work as well if I need them.  Sex drive seems to be coming back which my husband will be pleased with!  Also sleeping better now than when on this drug.",1/14/2009 12:04:08 AM,citalopram oral,4.0,5.0,4.0
for anyone suffering with ptsd this medicine has helped me cope with the affects of being in combat.i have been out of my medicin for about a week and i can feel the diff i feel weak light headed and dizzy.,1/12/2009 10:37:44 PM,citalopram oral,5.0,5.0,5.0
can this cause coughing jegs off and on during. and while sleeping?,1/12/2009 7:54:19 PM,citalopram oral,4.0,5.0,4.0
"STILL HAVE MINOR ""PANIC"" MOMENTS, BUT ALOT
LESS SEVERE. TIRED IN A.M. GRIND MY TEETH.
YAWN ALOT. I WOULD RECOMMEND IT.",1/12/2009 4:45:22 PM,citalopram oral,4.0,5.0,4.0
I have insomnia. My scalp is severely itching until I want to dig it. I have a tingling in my neck. My mind does not shut down. I feel that my doctor did not advice me concerning this drug. I have never been depressed until the death of my husband. I only needed a short boost. This drug should not have been given to me because it takes too long to feel any effects to help one.,1/11/2009 7:56:09 PM,citalopram oral,2.0,3.0,1.0
"I have used this med for over nearly two years (20 mg/once a day).  It has been the best so far in stabilizing my mood.  I've previously used prozac, serzone, and wellbutrin.  However, I want to stop using meds altogether this year.  Any suggestions in getting off of them?",1/10/2009 2:08:52 PM,citalopram oral,4.0,4.0,4.0
"overwhelming anxiety and panic have ceaced. energy level has increaced, and most of all my mental health has stableized dramatically.",1/9/2009 3:29:24 PM,citalopram oral,5.0,5.0,5.0
"Attempting to taper off this drug has been a nightmare for me.  Lots of withdrawal. (Dizziness, lightheaded, ""Zaps"")  No matter how slow I taper (and I've been doing MORE than what is normally done according to drs) within a few days of being off the drug, I'm having withdrawal symptoms.  Almost 3 weeks ago, I took my last pill.  I've been having withdrawal symptoms for almost 2 weeks.  I never would have taken it if I had known the problems of stopping it.",1/8/2009 8:50:39 PM,citalopram oral,3.0,4.0,1.0
"I have never taken any meds for my problems. I didn't even know I had a problem until my wife told me that I seemed to stay in the I don't care mood or rip your head off mood. Been taken the 40mg dose for 1 month and a few days, but the anger has calmed some when I do get upset seems to be more intense but is less often. I do experience the constant sleepiness in the mornings and for a few hours around lunch and the dreams "" never really had dreams until I started taking the pills"" but they are not bad just sleep right through them, and sometimes get the dry mouth, but no effect on the sex drive. so I think I will try it a bit longer and I will let you know if it is working any better. ",1/8/2009 7:54:27 PM,citalopram oral,3.0,5.0,3.0
I was on 20mg and had to up it to 40mg ,1/4/2009 10:41:50 AM,citalopram oral,4.0,5.0,4.0
This medication has really helped my strees and worrying. The only major side affect is the lack of sleep.I am only able to sleep about 2 hours a night.Has anyone had the same experience ?,1/8/2009 10:34:14 AM,citalopram oral,4.0,5.0,4.0
My Doctor gave this to me after taking Lexapro because of the cost issues.  I stop taking it because I had no sex drive.  After saying that I now have no appetite.  Its back to the basics again.  ,1/8/2009 2:52:07 AM,citalopram oral,4.0,4.0,4.0
"just started on 5mg 3 weeks ago, already feel less anxious and resentful.",1/6/2009 12:14:12 AM,citalopram oral,4.0,4.0,4.0
"I started out taking this because of stress of my upcoming wedding. It has turned out to be the best thing I have ever done. I am so much happier, relaxed and everyone is asking me what I am taking, because they want it too!LOL!",1/1/2009 1:40:53 PM,citalopram oral,5.0,5.0,5.0
i makes me feel worst,12/31/2008 2:12:21 AM,citalopram oral,1.0,4.0,1.0
It works great for depression and suicidal thoughts. The downside is that I never want sex...I'm 30 with no kids...and I'm always tired and CAN NOT sleep. I'm up every hour or two. I have serious dry mouth too. I really think the lack of sleep (prescription sleep aids/pills aren't helping) is the thing that is the worst.,12/30/2008 11:28:39 PM,citalopram oral,4.0,5.0,3.0
I EXPERENCE BAD CONSTAPATION AND HAVE INJURED MY BOWELS TRYING TO HAVE A  BOWEL MOVEMENT. ALSO SO MUCH PRUSSURE ON MY URINARY TRACK CAUSING BAD SWELLING OF THE TESTECILS AND PAIN IN THE STOMACH.AND MY BODY IS BADLY RETANNING WATER.UP ON A VISIT HE DOSEN'T LISTEN TO WHAT I'M SAYING.GIVES ME A PRESCITION FOR 7 25MG. WATER PILLS.I'VE BEEN SUFFERING FOR MORE THAN A MONTH NOW WITH BAD PAIN AND RETAINNING WATER.,12/29/2008 9:44:29 PM,citalopram oral,1.0,1.0,1.0
"I have been taking Citalopram for just over a year.  I started with 10mg a day and just a month ago increased to 20mg.  The drug is amazing and has been a soul saver for me.  However, I've noticed in the last few months a rapid increase in my weight. I see that weight gain is listed as a side effect.  Need to talk to the Dr. about it in more detail.",12/29/2008 9:47:57 AM,citalopram oral,5.0,5.0,5.0
"i started off with a low dose then ended up taking 60mg, only side effect was dry mouth, ive since been seeing a psyciatrist, now they thing i have poss bi polar and want to put me on to lithium! i did however find this med useful to start off with but now it doesn't have any effect, im now having to reduce the amount to come off to start new meds and its sending me all over the place that i would say is the only downside... aaaahhh..",12/29/2008 4:41:44 AM,citalopram oral,3.0,4.0,3.0
i have diabetes and was having panic attacks and this helped alot,12/25/2008 9:00:13 PM,citalopram oral,4.0,4.0,4.0
"I have had no side effects from this drug in the two and a half years I've been on it. Stress overload does overpower it and I will get the occasional anxiety attack. I take 20mg dose, so a stronger dose might fix that.",12/25/2008 6:44:57 PM,citalopram oral,4.0,5.0,5.0
"""Coming off"" of this medication is hell.  I feel dizzy, light headed and my whole body feels tingly all over when I walked.  The medication worked while I was using it though!",12/24/2008 9:48:18 AM,citalopram oral,4.0,4.0,3.0
"I've been on this drug for nearly 2 years. Overall it's a good drug,but sometimes the side effects are hard to deal with. The shakiness is embarassing and the lack of sex drive is affecting my marriage.",12/24/2008 9:15:32 AM,citalopram oral,4.0,5.0,3.0
